a	[ei, ә]	art. 一(个),每一(个)
able	['eibl]	a. 有能力的,出色的
about	[ә'baut]	prep. 关于,在…周围
accept	[әk'sept]	vt. vi. 接受,同意
accord	[ә'kɔ:d]	vt. 使一致,给予
according to		根据…
account	[ә'kaunt]	n. 记述,解释,帐目
across	[ә'krɔs]	prep. 横过,在…对面
act	[ækt]	vi. 行动,见效 n. 行为
action	['ækʃәn]	n. 行动,作用,功能
actually	['æktjuәli]	ad. 实际上,竟然
add	[æd]	vt. 添加,附加,掺加
after	['a:ftә]	prep. 在…以后,次于
again	[ә'gein, ә'gen]	ad. 又一次,而且
against	[ә'geinst, ә'genst]	prep. 靠在,反对,对着
age	[eidʒ]	n. 年龄,时代 vt. 变老
ago	[ә'gәu]	ad. 以前
agree	[ә'gri:]	vi. 同意,持相同意见
aid	[eid]	n. 帮助,救护,助手
air	[ɛә]	n. 空气,空中,外观
all	[ɔ:l]	a. 全部的 prep. 全部
allow	[ә'lau]	vt. 允许,准许
almost	['ɔ:lmәust]	ad. 几乎,差不多
along	[ә'lɔŋ]	prep. 沿着 ad. 向前
already	[ɔ:l'redi]	ad. 早已,已经
also	['ɔ:lsәu]	ad. 亦,也,而且,还
although	[ɔ:l'ðәu]	conj. 尽管,虽然
always	['ɔ:lweiz, 'ɔ:lwәz]	ad. 总是,一直,永远
among	[ә'mʌŋ]	prep. 在…之中
and	[ænd, әnd]	conj. 和,又,并,则
announce	[ә'nauns]	vt. 宣布,发表
another	[ә'nʌðә]	a. 再一个的,别的
answer	['a:nsә]	vt. 回答,响应,适应
any	['eni]	a. 什么,一些,任何的
anything	['eniθiŋ]	pron. 任何事物,一切
appear	[ә'piә]	vi. 出现,来到,似乎
area	['ɛәriә]	n. 面积,地区,领域
arm	[a:m]	n. 手臂,武器
army	['a:mi]	n. 军队,陆军
around	[ә'raund]	prep. 在…周围
art	[a:t]	n. 艺术,美术
as	[æz, әz]	conj. 当…的时候
ask	[a:sk]	vt. 问,要求,邀请
at	[æt, әt]	prep. 在…里,在…时
attack	[ә'tæk]	vt. vi. n. 攻击,进攻
attempt	[ә'tempt]	vt. 尝试,试图 n. 企图
authority	[ɔ:'θɔriti]	n. 当局,官方,权力
available	[ә'veilәbl]	a. 可利用的,通用的
away	[ә'wei]	ad. 离开,远离,…去
back	[bæk]	ad. 在后,向后 n. 背后
bad	[bæd]	a. 坏的,恶的,严重的
bank	[bæŋk]	n. 银行,库,堤
base	[beis]	n. 基础,底层,基地
based		v.  立基于,以. . . 为基础
be	[bi:]	aux. v. vi. 是,在,做
beat	[bi:t]	vt. vi. 打,敲,打败
because	[bi'kɔz]	conj. 由于,因为
become	[bi'kʌm]	vi. 变成,成为,变得
before	[bi'fɔ:]	prep. 在…以前
begin	[bi'gin]	vi. 开始 vt. 开始
behind	[bi'haind]	prep. 在…后面
believe	[bi'li:v]	vt. 相信,认为
better	['betә]	a. 较好的 ad. 更好地
between	[bi'twi:n]	prep. 在…中间
big	[big]	a. 大的
billion	['biljәn]	num. 十亿
bit	[bit]	n. 一点,一些,小片
bite	[bait]	vt. 咬,叮,螫
black	[blæk]	a. 黑色的,黑暗的
blue	[blu:]	a. 蓝色的 n. 蓝色
body	['bɔdi]	n. 身体,主体,尸体
Book	[buk]	n. 书籍 vt. 预定
Both	[bәuθ]	pron. 两者都
boy	[bɔi]	n. 男孩,少年,家伙
break	[breik]	vt. 打破,损坏
bring	[briŋ]	vt. 带来,引出,促使
brother	['brʌðә]	n. 兄弟
brown	[braun]	n. 褐色,棕色
build	[bild]	vt. 建造,建立,创立
building	['bildiŋ]	n. 建筑物,大楼
business	['biznis]	n. 商业,生意,事务
but	[bʌt]	conj. 但是,可是
buy	[bai]	vt. vi. 购买
by	[bai]	prep. 在…旁,被,由
call	[kɔ:l]	vt. 把…叫做,喊,打电话
campaign	[kæm'pein]	n. 战役,运动
can	[kæn]	aux. v. 能,会,可能
can't	[ka:nt]	v.  & aux.  不能
capital	['kæpitl]	n. 资本,资金,首都
car	[ka:]	n. 轿车
care	[kɛә]	vi. 关心,介意 n. 小心
carry	['kæri]	vt. 携带,运载,传送
case	[keis]	n. 情况,事实,病例
cause	[kɔ:z]	n. 原因,理由
