"	ability"	[ә'biliti]	n. 能力,能耐,本领
"	above"	[ә'bʌv]	prep. 在…上面,高于
"	absolutely"	['æbsәlu:tli]	ad. 完全地,绝对地
"	abuse"	[ә'bju:z, ә'bju:s]	vt. 滥用,虐待 n. 滥用
"	accepted"	[әk'septid]	a.  一般承认的,公认的
"	accuse"	[ә'kju:z]	vt. 指责,归咎于
"	achieve"	[ә'tʃi:v]	vt. 完成,实现,达到
"	active"	['æktiv]	a. 活跃的,积极的
"	activity"	[æk'tiviti]	n. 活动,活力,行动
"	addition"	[ә'diʃәn]	n. 加,加法,附加物
"	address"	[ә'dres]	n. 地址,演说,谈吐
"	administration"	[әdminis'treiʃәn]	n. 管理,管理部门
"	admit"	[әd'mit]	vt. 承认,准许…进入
"	adopt"	[ә'dɔpt]	vt. 收养,采用,采取
"	adult"	['ædʌlt]	n. 成年人 a. 成年的
"	advance"	[әd'va:ns]	vi. 前进,提高 n. 进展
"	advantage"	[әd'va:ntidʒ]	n. 优点,优势,好处
"	advice"	[әd'vais]	n. 劝告,忠告,意见
"	affair"	[ә'fɛә]	n. 事情,事件,事务
"	affect"	[ә'fekt]	vt. 影响,感动
"	afternoon"	['a:ftә'nu:n]	n. 下午,午后
"	agency"	['eidʒәnsi]	n. 经办,代理,代理处
"	agent"	['eidʒәnt]	n. 代理人,代理商
"	agreement"	[ә'gri:mәnt]	n. 协定,协议,同意
"	ahead"	[ә'hed]	ad. 在前,向前,提前
"	AIDS"		n. 艾滋病，即获得性免疫缺损综合症
"	aim"	[eim]	vi. 瞄准,针对,致力
"	aircraft"	['ɛәkra:ft]	n. 飞机,飞行器
"	airline"	['ɛәlain]	n. 航空公司,航线
"	airport"	['ɛәpɔ:t]	n. 机场,航空站
"	album"	['ælbәm]	n. 集邮本,照相簿,唱片
"	allege"	[ә'ledʒ]	vt. 宣称,申述,主张,断言
"	all right"		→ right 成语
"	ally"	['ælai, ә'lai]	n. 盟国,同盟者,伙伴
"	alone"	[ә'lәun]	a. 单独的 ad. 单独地
"	alternative"	[ɔ:l'tә:nәtiv]	n. 替换物,两者选一的
"	amount"	[ә'maunt]	n. 总数,数量,和
"	analyst"	['ænәlist]	n. 分析者
"	animal"	['ænimәl]	n. 动物,兽 a. 动物的
"	annual"	['ænjuәl]	a. 每年的 n. 年报
"	anyone"	['eniwʌn]	pron. 任何人
"	anyway"	['eniwei]	ad. 无论如何
"	apart"	[ә'pa:t]	ad. 相隔,分开,除去
"	apparently"	[ә'pærәntli]	ad. 看来，显然地
"	appeal"	[ә'pi:l]	vi. n. 呼吁,申述
"	appearance"	[ә'piәrәns]	n. 出现,来到,外观
"	apply"	[ә'plai]	vt. 应用,实施,使用
"	approach"	[ә'prәutʃ]	vt. 向…靠近 n. 靠近
"	approve"	[ә'pru:v]	vt. 赞成,批准
"	April"	['eiprәl]	n. 四月
"	aren't"		不是
"	argue"	['a:gju:]	vi. 争论,争辩,辩论
