Word - The base word plus all the inflected forms for all parts of speech.			
FEL Rank - The rank based on frequency in sorted in descending order. Words with the same frequency are given the same rank.			
SFI - Standard Frequency Index (Carroll	 1971) A lognormal transformation of poportional frequency		
U - Estimated frequency per million words			

Word,FEL Rank,SFI,U
abdomen,492,53.53,22.56
abdominal / abs,18,68.05,638.23
abductor,496,53.47,22.25
absorb,265,56.27,42.34
absorption,315,55.52,35.65
acid,51,64.15,259.83
activate,165,58.81,76.03
activation,477,53.61,22.97
actively,349,55.03,31.83
adaptation,359,54.9,30.91
adductor,300,55.8,38.02
aerobic,156,58.99,79.23
affirmation,324,55.41,34.72
afterward,594,52.71,18.65
airplane,350,55.03,31.83
align,316,55.52,35.65
alignment,171,58.54,71.5
almond,467,53.69,23.39
alternate,64,63.35,216.35
amino,91,61.59,144.34
anabolic,450,53.86,24.31
anaerobic,377,54.57,28.64
anchor,166,58.74,74.9
ankle,25,66.19,415.91
anterior,368,54.71,29.57
antioxidant,516,53.25,21.12
anytime,424,54.09,25.65
app,312,55.61,36.37
applause,125,59.96,99.11
apple,436,53.97,24.93
arch,60,63.57,227.68
armpit,288,55.99,39.77
arrow,470,53.67,23.28
asana,247,56.57,45.43
aspect,310,55.63,36.57
ass,543,53.03,20.09
athletic,245,56.62,45.95
awesome,23,66.24,421.16
backbend,414,54.18,26.17
backward,195,57.7,58.93
ballet,389,54.44,27.82
banana,375,54.6,28.85
barbell,75,62.64,183.49
bat,558,52.94,19.68
bean,329,55.34,34.2
beginner,109,60.66,116.42
belly,22,66.79,478.13
bench,35,65.05,319.79
beneficial,370,54.69,29.46
beta,419,54.13,25.86
beverage,282,56.03,40.08
bicep,41,64.65,291.45
bicycle,512,53.27,21.22
blade,57,63.76,237.68
blanket,128,59.89,97.56
blend,420,54.11,25.76
blender,232,56.85,48.42
bodybuild,102,60.88,122.6
bodybuilder,269,56.2,41.72
bodyweight,240,56.74,47.18
bolster,225,56.96,49.66
booty,160,58.9,77.68
bounce,305,55.67,36.88
bound,325,55.38,34.51
bout,468,53.69,23.39
bow,99,61.05,127.23
boxer,161,58.89,77.37
brace,562,52.89,19.47
breakdown,311,55.63,36.57
buddy,415,54.18,26.17
bum,532,53.14,20.6
bump,428,54.04,25.34
burpee,108,60.69,117.14
butt,70,63.14,205.94
butter,243,56.69,46.67
butterfly,339,55.14,32.66
buttock,395,54.34,27.2
bye,191,57.86,61.09
cactus,438,53.95,24.83
caffeine,223,57,50.17
cage,228,56.89,48.83
calcium,206,57.43,55.32
calendar,343,55.11,32.45
calf,48,64.22,264.36
caloric,270,56.2,41.72
calorie,58,63.68,233.55
carbohydrate / carbs,28,66.02,400.14
cardiovascular / cardio,44,64.61,288.98
cartwheel,396,54.34,27.2
carve,458,53.75,23.7
casein,518,53.23,21.02
cave,578,52.8,19.06
ceiling,65,63.34,216.04
certify,595,52.71,18.65
chakra,85,61.83,152.48
chant,563,52.89,19.47
chaturanga,96,61.4,138.05
cheat,204,57.48,56.04
chill,535,53.12,20.5
chin,27,66.15,411.99
choke,553,52.96,19.78
cholesterol,373,54.62,28.95
chop,314,55.59,36.26
chronic,297,55.85,38.43
circuit,304,55.68,36.99
clasp,211,57.26,53.26
claw,332,55.25,33.48
cleanse,384,54.49,28.13
clench,426,54.07,25.55
client,83,62.14,163.6
climber,261,56.36,43.27
cobra,95,61.4,138.15
coconut,444,53.89,24.52
collar,459,53.75,23.7
collarbone,292,55.89,38.84
comfy,406,54.21,26.37
compassion,567,52.87,19.37
compression,591,52.73,18.75
conscious,252,56.48,44.51
consciousness,460,53.73,23.59
consumption,221,57.03,50.48
contraction,139,59.52,89.53
cooldown,222,57.03,50.48
coordination,489,53.55,22.67
couch,320,55.44,35.03
cramp,421,54.11,25.76
crawl,519,53.23,21.02
crease,127,59.91,97.98
creatine,135,59.66,92.52
crescent,262,56.35,43.17
crossover,403,54.25,26.58
crow,575,52.82,19.16
crown,67,63.22,210.07
crunch,33,65.27,336.48
cue,271,56.19,41.62
cuff,497,53.45,22.15
cultivate,284,56.02,39.97
curl,21,67.05,506.88
curtsy,550,52.98,19.88
cushion,253,56.48,44.51
cute,461,53.73,23.59
dancer,393,54.36,27.3
deadlift,80,62.24,167.41
deepen,148,59.22,83.66
deficiency,200,57.6,57.49
dehydration,559,52.92,19.57
deltoid / delts,101,60.9,122.91
dense,586,52.75,18.85
descend,592,52.73,18.75
detox,400,54.31,26.99
diabetes,473,53.65,23.18
diagonal,564,52.89,19.47
dial,544,53.03,20.09
dietary,110,60.61,115.18
digest,425,54.09,25.65
digestion,418,54.16,26.06
digestive,536,53.12,20.5
dip,98,61.24,133
discomfort,579,52.8,19.06
dive,169,58.57,71.91
dose,283,56.03,40.08
download,322,55.42,34.82
downward,24,66.2,416.83
duck,453,53.8,24
dumbbell,20,67.1,513.47
duration,246,56.58,45.54
dynamic,279,56.08,40.59
eagle,367,54.74,29.77
elbow,8,70.81,1204.86
electrolyte,334,55.19,33.07
elevate,250,56.49,44.61
elite,462,53.73,23.59
empower,520,53.23,21.02
endurance,104,60.87,122.29
energetic,281,56.04,40.18
energetically,337,55.15,32.76
enzyme,303,55.73,37.4
essentially,527,53.16,20.71
evenly,257,56.4,43.68
exaggerate,580,52.8,19.06
excessive,385,54.49,28.13
exhalation,241,56.73,47.08
exhale,1,75.46,3516.82
explode,533,53.14,20.6
explosive,341,55.13,32.56
eyebrow,404,54.25,26.58
fabulous,568,52.87,19.37
fascia,258,56.4,43.68
fascial,447,53.88,24.42
fatigue,136,59.6,91.18
fatty,175,58.43,69.64
feedback,302,55.75,37.6
fiber,113,60.47,111.37
fighter,352,54.99,31.53
fingertip,15,68.48,704.89
fist,199,57.61,57.69
fitness,39,64.74,297.64
flatten,597,52.68,18.54
flavor,321,55.43,34.93
flex,52,64.09,256.32
flexibility,117,60.27,106.53
flexion,214,57.2,52.44
flexor,126,59.92,98.18
flip,133,59.71,93.65
fluid,88,61.75,149.49
flush,356,54.93,31.11
flutter,511,53.31,21.43
foam,340,55.14,32.66
forearm,73,62.81,190.9
forehead,100,60.93,123.94
fructose,554,52.96,19.78
fry,439,53.93,24.73
generously,333,55.22,33.28
glide,198,57.62,57.8
glucose,118,60.16,103.85
glutamine,545,53.03,20.09
gluteus / glutes,43,64.62,290.01
glycemic,476,53.63,23.08
glycogen,122,60.06,101.38
goddess,481,53.59,22.87
goodness,361,54.87,30.7
gorgeous,509,53.33,21.53
gosh,173,58.49,70.57
grace,431,54,25.14
gram,152,59.05,80.36
grasp,430,54.02,25.24
gratitude,306,55.64,36.68
gravity,237,56.78,47.6
graze,528,53.16,20.71
grip,56,63.91,246.02
groin,188,57.95,62.43
gut,493,53.49,22.36
gym,50,64.19,262.2
hack,202,57.56,56.97
halfway,32,65.37,344.1
hammer,293,55.88,38.74
hamstring,30,65.62,364.7
handstand,593,52.73,18.75
heal,158,58.96,78.71
heel,10,69.88,971.82
hey,55,63.98,250.04
hike,596,52.71,18.65
hinge,263,56.31,42.75
hip,3,74.03,2527.27
hollow,498,53.45,22.15
honestly,273,56.15,41.21
honey,485,53.57,22.77
hop,68,63.21,209.45
hormone,185,58.05,63.77
hover,107,60.72,118.17
hug,66,63.34,215.73
huh,274,56.14,41.11
hydrate,576,52.82,19.16
hydration,410,54.19,26.27
hypertrophy,371,54.66,29.26
imbalance,402,54.3,26.89
immune,464,53.71,23.49
impact,115,60.41,110.03
incline,114,60.44,110.75
incredible,268,56.21,41.83
inflammation,517,53.25,21.12
inflate,510,53.33,21.53
info,486,53.57,22.77
