Rank,Word,SFI,U (Freq/million
4.,a,84.95,31229
504.,able,63.84,242
32.,about,75.96,3948
632.,above,62.48,177
512.,across,63.68,234
600.,act,62.82,192
658.,action,62.29,170
275.,activity,66.62,459
561.,add,63.25,211
711.,adjective,61.64,146
492.,afraid,63.99,250
114.,after,70.61,1151
673.,afternoon,62.14,164
98.,again,71.38,1375
527.,ago,63.51,224
551.,agree,63.37,217
383.,air,65.18,330
35.,all,75.64,3666
851.,allow,60.6,115
510.,almost,63.7,235
706.,alone,61.71,148
311.,along,66.05,403
375.,aloud,65.33,342
626.,already,62.54,179
155.,also,69.35,861
241.,always,67.29,536
649.,amaze,62.35,172
5.,and,84.62,28958
417.,angry,64.8,302
99.,animal,71.38,1374
198.,another,68.07,642
130.,answer,70.1,1023
680.,ant,62.02,159
177.,any,68.7,742
623.,anyone,62.56,180
346.,anything,65.67,369
455.,apple,64.44,278
406.,area,64.9,309
339.,arm,65.72,373
110.,around,70.79,1201
520.,arrive,63.58,228
579.,art,63.08,203
853.,artist,60.59,114
36.,as,75.53,3569
59.,ask,73.48,2229
27.,at,77,5011
776.,attention,61.15,130
633.,aunt,62.48,177
113.,away,70.62,1152
332.,baby,65.78,378
88.,back,71.69,1474
225.,bad,67.56,570
386.,bag,65.14,327
309.,ball,66.09,406
483.,banana,64.07,256
583.,bark,63.07,203
789.,bat,61.09,128
2.,be,87.61,57708
438.,beach,64.58,287
419.,bear,64.78,300
712.,beat,61.62,145
239.,beautiful,67.3,537
118.,because,70.49,1120
224.,become,67.56,570
263.,bed,66.91,491
778.,bedroom,61.15,130
507.,bee,63.82,241
652.,beep,62.35,172
179.,before,68.67,736
191.,begin,68.3,676
469.,behind,64.24,265
333.,believe,65.77,378
597.,bell,62.9,195
867.,below,60.48,112
539.,between,63.42,220
100.,big,71.26,1338
549.,bike,63.38,218
213.,bird,67.73,593
442.,birthday,64.52,283
819.,bit,60.81,121
356.,black,65.57,361
640.,blow,62.45,176
216.,blue,67.72,591
308.,board,66.1,407
330.,boat,65.79,379
269.,body,66.82,481
815.,bone,60.83,121
439.,boo,64.58,287
150.,book,69.5,891
696.,boom,61.81,152
321.,both,65.91,390
735.,bottle,61.44,139
717.,bottom,61.57,143
866.,bowl,60.5,112
195.,box,68.25,668
146.,boy,69.64,921
721.,bread,61.54,142
381.,break,65.24,334
659.,breakfast,62.28,169
