Lemma,SFI,Frequency
be,87.950,1,810,626
the,87.033,1,143,723
you,83.683,857,631
and,84.917,853,672
it,83.104,738,916
to,84.523,707,406
a,84.236,657,570
have,82.581,554,871
of,83.787,528,492
do,81.301,513,343
not,81.368,503,135
that,81.803,487,483
they,81.394,426,513
we,81.479,407,621
in,82.594,397,635
he,80.309,269,398
know,78.250,246,848
get,77.674,241,667
go,78.161,231,495
so,77.862,218,652
this,79.550,217,409
but,78.407,217,215
on,78.928,215,953
pause,71.065,207,397
I,77.425,201,893
unclear,70.879,197,209
for,79.279,192,093
think,77.475,181,543
like,76.223,180,346
there,77.189,177,239
will,77.060,171,013
say,77.799,161,060
she,76.277,159,373
what,76.878,157,545
just,76.061,151,684
well,75.852,150,002
one,76.023,146,359
with,77.820,141,913
if,75.916,136,432
at,76.984,132,306
all,75.764,125,003
about,76.839,124,076
or,75.896,123,846
as,76.960,117,692
would,75.032,104,906
then,73.552,104,167
because,74.647,99,207
right,74.195,97,099
can,74.816,95,480
no,73.702,95,183
up,74.588,92,054
mean,73.382,87,960
out,74.747,87,635
see,74.191,86,700
thing,73.994,84,388
yes,71.824,82,532
when,74.522,82,320
really,73.633,80,617
want,73.757,76,938
come,74.052,76,805
now,74.396,74,995
some,74.259,71,680
good,73.386,71,159
from,75.751,70,118
time,73.787,68,734
people,75.334,67,145
very,74.191,65,666
yeah,68.535,64,384
make,73.878,60,889
look,72.748,60,323
two,71.997,59,233
take,73.244,58,716
here,72.928,58,300
which,72.778,56,385
could,72.285,54,795
work,72.310,53,702
more,73.914,53,318
who,74.516,51,444
other,72.851,50,868
laugh,66.330,50,389
where,72.042,47,707
use,71.302,47,699
something,71.188,47,345
how,72.226,46,872
back,71.937,46,507
year,73.392,46,402
by,73.713,45,190
any,71.026,44,738
lot,72.060,44,698
way,72.253,44,420
put,70.449,44,367
down,70.687,41,336
give,71.082,40,445
sort,69.894,39,749
three,69.951,38,615
much,71.906,37,611
actually,70.152,37,389
need,70.637,36,400
talk,72.168,35,571
kind,70.980,34,968
tell,70.698,34,066
only,70.297,33,661
should,70.028,32,948
over,71.152,32,568
little,69.909,32,493
day,70.984,32,392
into,71.261,32,161
bit,68.170,31,582
try,70.583,30,773
why,69.836,30,620
okay,66.454,30,440
off,69.199,29,826
first,70.897,27,768
than,71.023,27,474
too,69.004,27,189
five,67.498,26,285
let,69.942,25,710
call,71.061,25,644
four,67.830,25,300
last,70.019,24,997
start,69.362,24,572
quite,67.074,24,409
still,69.505,23,698
find,69.919,23,606
probably,67.574,23,378
even,69.989,23,310
might,68.358,23,138
through,69.406,22,967
point,69.353,22,809
anything,67.279,22,433
laughter,62.081,22,259
week,68.999,22,133
before,69.094,22,056
again,68.456,21,984
