This sample contains frequency information for every tenth word (word #131, 141, 151, etc) in the top 60,000 word list from iWeb.
-- The list is lemmatized, meaning that all "inflected" forms are included. For example, "get" (#41) is 
the combined frequency of get, gets, got, gotten, and getting.
-- There is also a "word forms" list, which has each form and its frequency as separate columns.

-------------------------------

More information:

https://www.wordfrequency.info: Word frequency lists (from iWeb, COCA, and more)
https://corpus.byu.edu/iweb/: iWeb corpus (14 billion words, 22 million words, 95,000 selected websites)
http://davies-linguistics.byu.edu/: Mark Davies (creator of the iWeb corpus)

-------------------------------

-- A word may appear multiple times in the list, each for a different part of speech (e.g. "strike" as a noun and as a verb).
-- Some words are parts of multi-word expressions, especially for adverbs ("r"), conjunctions ("c"), and prepositions ("i").
For example, "light" as a preposition (#6592) is part of the phrase "in light of".

* "wordID" corresponds in most cases to the ranking (1-60,000). It can safely be ignored in most cases, although it will provide a 
way to match up this data with the collocates or n-grams data.
* pos = part of speech (the first letter from the PoS codes at http://ucrel.lancs.ac.uk/claws7tags.html)
* "Range" is the percentage of the ~95,000 websites that have the word at least once.
* "Range10" is the percentage of the ~95,000 websites that have the word at least ten times.
* "Caps" is the percentage of forms of the word that are capitalized. This is especially useful for nouns, where 
capitalization is often a marker of proper nouns. (Proper nouns are not included in the list, but there are
many words that "straddle" the line between common and proper nouns, e.g. Rice/rice, Brown/brown, Beach/beach).


rank	wordID	word	PoS	frequency	range	range10	caps
-----	-----	-----	-----		-----	-----	-----	-----

1	1	the	a	746240010	1	1	0.11
11	10	you	p	131299336	1	0.99	0.12
21	20	will	v	58588289	1	1	0.01
31	30	as	c	40335062	1	1	0.11
41	37	use	v	33469467	1	0.98	0.06
51	50	year	n	25098932	1	0.95	0.04
61	59	there	e	23199253	1	0.94	0.36
71	71	into	i	19469562	1	0.97	0
81	75	may	v	16406340	0.98	0.93	0.01
91	90	no	a	14843916	1	0.94	0.14
101	100	good	j	13141484	0.96	0.84	0.08
111	111	those	d	11003310	0.99	0.86	0.08
121	123	start	v	9745100	0.97	0.86	0.06
131	130	so	c	9458479	0.99	0.83	0.02
141	139	over	i	8914858	1	0.86	0.07
151	151	child	n	8023824	0.77	0.59	0.11
161	154	best	j	7684579	0.97	0.85	0.1
171	172	play	v	7258802	0.84	0.63	0.04
181	181	three	m	7017137	0.99	0.8	0.08
191	191	small	j	6797067	0.99	0.79	0.03
201	195	state	n	6551657	0.82	0.59	0.33
211	212	case	n	6261296	0.96	0.67	0.04
221	226	sure	j	5978786	0.91	0.74	0.02
231	233	write	v	5737272	0.83	0.61	0.07
241	250	a	r	5528678	0.91	0	0.02
251	230	use	n	5413067	0.93	0.77	0.07
261	260	health	n	5260833	0.68	0.47	0.26
271	274	lot	n	5132570	0.82	0.61	0.03
281	284	against	i	4930936	0.94	0.56	0.02
291	292	far	r	4803265	0.97	0.68	0.05
301	305	after	c	4592897	0.97	0.68	0.44
311	306	story	n	4440664	0.73	0.51	0.09
321	334	actually	r	4265943	0.76	0.53	0.06
331	335	list	n	4161855	0.87	0.66	0.08
341	338	check	v	4079348	0.89	0.68	0.22
351	361	several	d	3998917	0.96	0.66	0.08
361	364	apply	v	3905270	0.86	0.63	0.07
