a bit: BN
a great deal: BN
A level: L2
a little: BN
a lot: BN
a: A1,CA,DL,DS,FS,GL,GS,IS,L5,LD,MC,OG,S1,VA,W1,WK,WS,ZK
a.: KY
a.m.: L2
aah: CA
abandon: B2,BE,BN,CA,GK,GL,IS,KY,L3,ST,T4,T6,TF,W3
abandoned: L3
abase: GR,ST
abash: GR,ST
abate: BE,GR,IS,ST,TF
abatement: BE,GR
abbess: ST
abbey: BN,L2,ST,TF
abbreviate: GR,ST,TF
abbreviation: BE,MC
ABC: L2
abdicate: GM,GR,ST
abdication: BE
abdomen: FE,KY,ST
abdominal: AW,FE,ST
abduction: ST
abductor: FE
abed: ST
Aberdeen: BN
aberrant: GR,TF
aberration: GR,ST
abet: GR,ST
abeyance: GR,ST
abhor: GR,TF
abhorrence: ST
abhorrent: GR,IS,ST
abidance: ST
abide: IS,KY,TL
abiding: TF
ability: A2,BE,BN,CA,GK,GL,IS,KY,L4,LD,MC,S2,T4,TF,W1,ZK
abject: GR,ST
abjure: GR,ST
ablaze: GR,TF
able: A2,BE,BN,CA,DL,FS,GK,GL,GS,L5,MC,OG,S1,VA,W1,ZK
ablution: ST
abnegate: GR,ST
abnegation: GR
abnormal: BE,GK,GM,KY,ST,T6,TF
aboard: GK,KY,L2,T4,TL
abode: IS
abolish: BE,BL,BN,C1,GK,GM,GR,IS,KY,L2,T6,TF
abolition: BN,GR,TF
abominable: ST
abominate: GR,ST
abomination: ST
aboriginal: ST,TF
aborigine: ST
abort: TF
abortion: BN,C1,CA,GK,GL,L3,T6
abortive: GR,TF
abound: GR,IS,KY,TF
about: A1,BN,CA,DL,DS,FS,GK,GL,GS,L5,LD,MC,OG,S1,VA,W1,WK,WS,ZK
above: A1,BN,CA,DL,FS,GK,GL,L4,LD,MC,S2,VA,W1,W3,WK,ZK
aboveboard: GR
abrade: GR,ST
abrasion: ST,TF
abrasive: GR
abreast: GR,TF
abridge: GR,ST,TF
abridgement: ST
abroad: A2,BE,BN,CA,GK,GL,KY,L3,LD,S2,T4,W3,ZK
abrogate: BE,GR,ST
abrupt: GK,GR,KY,L2,ST,T6,TF
abruptly: BN
abscond: GR,ST
absence: BE,BN,C1,CA,GK,GL,KY,L3,LD,S3,ST,T4,T6,TF,W2
absent: BE,BN,C1,GK,GR,IS,KY,L2,LD,T4,TL,ZK
absenteeism: BE,GM,IS,TF
absolute: B2,BE,BN,CA,GK,GL,IS,KY,L3,S2,T4,TF,W3
absolutely: B1,BN,CA,GL,GS,L4,S1,W3
absolution: ST
absolve: BE,GR,ST,TF
absorb: AW,B2,BE,BL,BN,CA,FE,GK,GM,IS,KY,L2,ST,T4,T6,TF,TL,W3
absorption: AW,BL,FE,ST,TF
abstain: BE,GR,ST
abstemious: GR,ST
abstention: GR
abstentious: GR
abstinent: GR
abstract: B2,BE,BN,CA,GK,GL,GM,GR,IS,KY,L2,ST,T4,T6,TF
abstraction: IS
abstruse: GR,ST
absurd: C1,GK,GM,GR,IS,KY,L2,ST,T6,TF
abundance: C1,IS,ST,T6
abundant: BE,GK,GM,KY,ST,T4,T6,TF
abuse: BN,C1,CA,GK,GL,GR,IS,KY,L4,S2,T4,T6,W3
abusive: GR,ST
abut: GR,ST,TF
abysmal: GR,TF
abyss: ST
AC: BN
academic: B1,B2,BN,CA,GK,GL,GM,GR,IS,KY,L3,MC,ST,T4,T6,TF,W2
academician: ST
academy: BN,C1,CA,GK,KY,L2,ST,T4,TF
acarpous: GR
accede: GR,ST,TF
accelerate: AW,BE,BL,BN,C1,GK,GM,GR,IS,KY,L2,ST,T4,T6,TF
acceleration: AW,ST
accent: AW,B2,BN,CA,KY,L2,T4,TF,TL
accentuate: BE,GR,ST
accept: A2,BE,BN,CA,GK,GL,GS,L5,LD,MC,S1,VA,W1,ZK
acceptability: BE
acceptable: B2,BN,CA,GL,IS,L3,LD,MC,S3,W3
acceptance: BE,BL,BN,C1,CA,KY,L2,T4,T6,TL
accepted: BN,L4
access: B1,BE,BN,CA,GK,GL,GM,IS,KY,L3,S2,ST,T4,T6,TF,W1
accessible: BE,BL,BN,C1,CA,GK,GM,GR,IS,L2,ST,TF,TL
accession: ST
accessory: BE,GR,IS,KY,L2,ST,T6,TF,TL,ZK
accident: A2,BE,BN,CA,GK,GL,L3,LD,MC,S2,T4,T6,TF,VA,W2,ZK
accidental: GR,L2,MC,T4
accidentally: B2,MC
acclaim: GM,GR,IS,KY,L2,ST,TF,TL
acclimate: GR,ST
acclimatise: IS
acclivity: ST
accolade: GR,ST
accommodate: B2,BE,BL,BN,CA,GM,GR,KY,L2,ST,T6,TF,TL
accommodation: B1,BE,BN,GK,GL,IS,KY,L2,S2,T4,T6,W2
accommodator: BE
accompaniment: GM,ST
accompanist: ST
accompany: B2,BN,CA,GK,GL,GR,IS,KY,L3,ST,T4,T6,TF,W2
accomplice: GR,ST
accomplish: B2,BE,CA,GK,GL,GM,GR,IS,KY,L2,ST,T4,T6,TF
accomplished: GR,L2
accomplishment: BE,BL,C1,CA,TF,TL
accord: BN,GL,GM,KY,L5,T4,T6,TF
accordance: BL,C1,KY,LD,T4,T6
according to: BN,L5,LD,MC,S2,W1
according: CA,LD,T4
accordingly: BL,BN,C1,GM,KY,L2,T4,TL
accordion: TF
accost: GR,ST
account: B1,B2,BE,BN,CA,GK,GL,GS,IS,KY,L5,LD,MC,OG,S1,S3,T4,T6,TF,W1,W2
accountability: BE,BL,BN,C1,CA,GR
accountable: BE,BL,C1,L2
accountancy: BE,IS,T4
accountant: B2,BE,BL,BN,GK,GM,IS,KY,L2,ST,T4,TL
accounting: BN,C1,CA,GM,L2,TF
accouter: ST
accredit: GR,IS,ST,TF
accreditation: IS
accrete: GR
accretion: GM
accrual: BE,BL
accrue: BL,GM,GR
acculturation: BE
accumulate: AW,BE,BL,BN,GK,GM,GR,IS,KY,L2,ST,T4,T6,TF,TL
accumulation: AW,BL,C1
accuracy: AW,B2,BL,BN,CA,GK,GM,GR,IS,KY,T4,TF,TL
accurate: B2,BE,BN,CA,GK,GL,GM,GR,IS,KY,L3,MC,S2,T4,T6,TF,W3
accurately: AW,B2,BL,BN,CA,MC,TL
accursed: ST
accusation: BL,BN,C1,CA,L2,ST,T4
accusatory: ST
accuse: B2,BE,BN,CA,GK,GL,GR,KY,L4,MC,ST,T4,T6,TF,VA,W3
accused: BN,C1
accustom: GR,IS,KY,TF,TL
accustomed: GK,GM,ST,T4,T6
ace: BN,L2
acedia: GR
acerbic: GR,ST
acerbity: GR,ST
ache: GK,L2,LD,T4,ZK
achievable: BE
achieve: A2,BN,CA,GK,GL,L4,MC,S2,W1,ZK
achievement: B1,BE,BN,CA,GK,GL,IS,L2,MC,S3,T4,T6,W2
achromatic: ST
acid: AW,B2,BL,BN,C1,CA,FE,GK,IS,KY,L3,LD,MC,OG,ST,T4,T6,TF,W3
acidic: AW,GR
acidify: ST
acidity: GM,TF
acknowledge: B2,BE,BN,CA,GK,GL,GM,GR,IS,KY,L3,S3,ST,T4,T6,TF,W3
acknowledgement: BE
acme: ST
acne: ST
acolyte: GR
acoustic: GM,GR,IS,L2,ST,TF
acoustical: GM
acoustics: ST
acquaint: BE,IS,KY,ST,T4,T6,TF
acquaintance: BE,GK,IS,KY,L2,ST,T4,T6
acquainted: ST
acquiesce: BE,GM,GR,ST,TF
acquiescence: GR,ST
acquiescent: GR
acquire: B2,BE,BN,CA,GK,GL,GM,IS,KY,L3,ST,T4,T6,TF,W2
acquired: ST
acquisition: BE,BN,C1,CA,GK,GL,GM,IS,KY,L3,ST,T4,TF
acquisitive: GR
acquit: GR,L2,ST,TF
acquittal: ST
acre: BL,BN,C1,CA,GK,L3,T4
acreage: GM,ST
acrid: GR,ST
acrimonious: GR
acrimony: GR,ST
acrobat: GR,IS,KY
acrobatic: IS
acronym: TF
across: A1,BN,CA,DL,FS,GK,GL,GS,L5,LD,MC,OG,S1,TF,VA,W1,WK,ZK
act: A2,B1,BE,BN,CA,DL,FS,GL,L5,LD,MC,OG,S1,S2,VA,W1,WK,ZK
acting: BE,L2,TF
action: A1,BE,BN,CA,DL,FS,GK,GL,GS,KY,L5,LD,MC,S1,T4,W1
activate: AW,B2,BN,FE,GM,GR,IS,KY,T6,TF,TL
activation: C1,FE
active: A2,BN,CA,GK,GL,L4,LD,MC,S2,T4,W2,WK,ZK
actively: AW,BL,BN,CA,FE,TL
activism: GM,L3
activist: BL,BN,C1,CA,GM,S3,VA
activity: A1,BE,BN,CA,DL,GK,GL,KY,L4,LD,MC,S2,T4,W1,WK,ZK
actor: A1,BN,CA,GL,L3,LD,MC,VA,W3
actress: A1,BN,CA,L3,LD,MC,TL
actual: B2,BE,BN,CA,GK,GL,IS,L3,LD,MC,S1,W2
actually: A2,BE,BN,CA,FS,GL,GS,L5,S1,W1
actuals: BE
actuary: ST
actuate: GR,ST
acuity: GR
acumen: GR,IS,ST,TF
acupuncture: IS
acute: AW,BE,BN,C1,GK,GM,GR,IS,KY,L2,ST,T4,T6,TF
ad: B1,BE,BN,CA,GL,L2,S3,W3
Adam: BN
adamant: GR,ST,TF
adapt: B2,BE,BN,CA,GK,GL,GM,GR,IS,KY,L2,T4,T6,TF,W3
adaptability: GR
adaptable: GR,TF
adaptation: AW,BN,C1,CA,FE,GK,GM,IS
adapter: GM,TL
adaptive: AW,GR,TF
add: A1,BE,BN,CA,DL,FS,GK,GL,GS,L5,LD,MC,S1,ST,VA,W1,WK,ZK
added: BN,CA
addendum: BE,ST
addict: GM,GR,IS,KY,L2,T6
addicted: GK
addiction: B2,CA,IS,L2
addictive: GM,TF
addition: B1,BE,BN,CA,FS,GK,GL,GM,IS,KY,L4,LD,MC,OG,S3,T4,T6,TF,W1
additional: B2,BN,CA,GL,IS,KY,MC,S3,T4,T6,W2
additionally: B2,CA,TL
additive: GM,GR,TF
addle: GR,ST
